rank,freq,zipf
1011,7,1.48269
1012,7,1.48123
1013,7,1.47976
1014,7,1.4783
1015,7,1.47685
1016,7,1.47539
1017,7,1.47394
1018,7,1.4725
1019,7,1.47105
1020,7,1.46961
1021,7,1.46817
1022,7,1.46673
1023,7,1.4653
1024,7,1.46387
1025,7,1.46244
1026,7,1.46101
1027,7,1.45959
1028,7,1.45817
1029,7,1.45675
1030,7,1.45534
1031,7,1.45393
1032,7,1.45252
1033,7,1.45111
1034,7,1.44971
1035,7,1.44831
1036,7,1.44691
1037,7,1.44552
1038,7,1.44412
1039,7,1.44273
1040,7,1.44135
1041,7,1.43996
1042,7,1.43858
1043,7,1.4372
1044,7,1.43582
1045,7,1.43445
1046,7,1.43308
1047,7,1.43171
1048,7,1.43034
1049,7,1.42898
1050,7,1.42762
1051,7,1.42626
1052,7,1.4249
1053,7,1.42355
1054,7,1.4222
1055,7,1.42085
1056,7,1.41951
1057,7,1.41816
1058,7,1.41682
1059,7,1.41549
1060,7,1.41415
1061,7,1.41282
1062,7,1.41149
1063,7,1.41016
1064,7,1.40883
1065,7,1.40751
1066,7,1.40619
1067,7,1.40487
1068,7,1.40356
1069,7,1.40225
1070,7,1.40093
1071,7,1.39963
1072,7,1.39832
1073,7,1.39702
1074,7,1.39572
1075,7,1.39442
1076,7,1.39312
1077,7,1.39183
1078,7,1.39054
1079,7,1.38925
1080,7,1.38796
1081,7,1.38668
1082,7,1.3854
1083,7,1.38412
1084,7,1.38284
1085,7,1.38157
1086,7,1.38029
1087,7,1.37902
1088,7,1.37776
1089,7,1.37649
1090,7,1.37523
1091,7,1.37397
1092,7,1.37271
1093,7,1.37145
1094,7,1.3702
1095,7,1.36895
1096,7,1.3677
1097,7,1.36645
1098,7,1.36521
1099,7,1.36397
1100,7,1.36273
1101,7,1.36149
1102,7,1.36025
1103,7,1.35902
1104,7,1.35779
1105,7,1.35656
1106,7,1.35533
1107,7,1.35411
1108,7,1.35289
1109,7,1.35167
1110,7,1.35045
1111,7,1.34923
1112,7,1.34802
1113,7,1.34681
1114,7,1.3456
1115,7,1.34439
1116,7,1.34319
1117,7,1.34199
1118,7,1.34079
1119,7,1.33959
1120,7,1.33839
1121,7,1.3372
1122,7,1.33601
1123,7,1.33482
1124,7,1.33363
1125,7,1.33244
1126,7,1.33126
1127,7,1.33008
1128,7,1.3289
1129,7,1.32772
1130,7,1.32655
1131,7,1.32538
1132,7,1.3242
1133,7,1.32304
1134,7,1.32187
1135,7,1.3207
1136,7,1.31954
1137,7,1.31838
1138,7,1.31722
1139,7,1.31607
1140,7,1.31491
1141,7,1.31376
1142,7,1.31261
1143,7,1.31146
1144,7,1.31031
1145,7,1.30917
1146,7,1.30803
1147,7,1.30689
1148,7,1.30575
1149,7,1.30461
1150,7,1.30348
1151,7,1.30235
1152,7,1.30122
1153,7,1.30009
