rank,freq,zipf
1241,1000,172.525
1242,1000,172.386
1243,1000,172.247
1244,1000,172.109
1245,1000,171.97
1246,1000,171.832
1247,1000,171.694
1248,1000,171.557
1249,1000,171.42
1250,1000,171.282
1251,1000,171.145
1252,1000,171.009
1253,1000,170.872
1254,1000,170.736
1255,1000,170.6
1256,1000,170.464
1257,1000,170.329
1258,1000,170.193
1259,1000,170.058
1260,1000,169.923
1261,1000,169.788
1262,1000,169.654
1263,1000,169.519
1264,1000,169.385
1265,1000,169.251
1266,1000,169.118
1267,1000,168.984
1268,1000,168.851
1269,1000,168.718
1270,1000,168.585
1271,1000,168.452
1272,1000,168.32
1273,1000,168.188
1274,1000,168.056
1275,1000,167.924
1276,1000,167.792
1277,1000,167.661
1278,1000,167.53
1279,1000,167.399
1280,1000,167.268
1281,1000,167.137
1282,1000,167.007
1283,1000,166.877
1284,1000,166.747
1285,1000,166.617
1286,1000,166.488
1287,1000,166.358
1288,1000,166.229
1289,1000,166.1
1290,1000,165.971
1291,1000,165.843
1292,1000,165.714
1293,1000,165.586
1294,1000,165.458
1295,999,165.331
1296,999,165.203
1297,998,165.076
1298,998,164.948
1299,998,164.821
1300,998,164.695
1301,997,164.568
1302,997,164.442
1303,997,164.315
1304,997,164.189
1305,997,164.064
1306,997,163.938
1307,997,163.813
1308,997,163.687
1309,997,163.562
1310,997,163.437
1311,997,163.313
1312,997,163.188
1313,997,163.064
1314,997,162.94
1315,997,162.816
1316,997,162.692
1317,997,162.569
1318,997,162.445
1319,997,162.322
1320,997,162.199
1321,993,162.076
1322,991,161.954
1323,982,161.831
1324,943,161.709
1325,938,161.587
1326,922,161.465
1327,861,161.344
1328,847,161.222
1329,844,161.101
1330,831,160.98
1331,826,160.859
1332,825,160.738
1333,813,160.617
1334,808,160.497
1335,782,160.377
1336,776,160.257
1337,771,160.137
1338,765,160.017
1339,763,159.898
1340,763,159.778
1341,745,159.659
1342,744,159.54
1343,739,159.421
1344,727,159.303
1345,727,159.184
1346,725,159.066
1347,715,158.948
1348,714,158.83
1349,700,158.712
1350,684,158.595
1351,684,158.477
1352,681,158.36
1353,677,158.243
1354,669,158.126
1355,662,158.01
1356,662,157.893
1357,657,157.777
1358,655,157.661
1359,654,157.545
1360,647,157.429
1361,646,157.313
1362,645,157.198
1363,629,157.082
1364,627,156.967
1365,625,156.852
1366,620,156.737
1367,614,156.623
1368,614,156.508
1369,611,156.394
1370,608,156.28
1371,604,156.166
1372,603,156.052
1373,600,155.938
1374,595,155.825
1375,594,155.711
1376,593,155.598
1377,593,155.485
1378,588,155.372
1379,588,155.26
1380,583,155.147
1381,573,155.035
1382,572,154.923
1383,567,154.811
1384,566,154.699
1385,565,154.587
1386,565,154.475
1387,564,154.364
1388,558,154.253
